service_time,arrival_time        ,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
6.04        ,0.0                 ,6.04              ,6.04               ,0.0                 ,11.04            ,5.0           ,0.0
11.26       ,0.0                 ,11.26             ,11.26              ,0.0                 ,15.68            ,4.42          ,0.22000000000000064
16.78       ,0.0                 ,16.78             ,16.78              ,0.0                 ,21.13            ,4.35          ,1.1000000000000014
23.66       ,0.0                 ,23.66             ,23.66              ,0.0                 ,28.48            ,4.82          ,2.530000000000001
30.23       ,0.0                 ,30.23             ,30.23              ,0.0                 ,34.73            ,4.5           ,1.75
43.49       ,0.0                 ,43.49             ,43.49              ,0.0                 ,48.45            ,4.96          ,8.760000000000005
56.69       ,0.0                 ,56.69             ,56.69              ,0.0                 ,61.01            ,4.32          ,8.239999999999995
63.68       ,0.0                 ,63.68             ,63.68              ,0.0                 ,68.56            ,4.88          ,2.6700000000000017
73.49       ,0.0                 ,73.49             ,73.49              ,0.0                 ,77.97            ,4.48          ,4.929999999999993
89.12       ,0.0                 ,89.12             ,89.12              ,0.0                 ,93.43            ,4.31          ,11.150000000000006
94.15       ,0.0                 ,94.15             ,94.15              ,0.0                 ,98.38            ,4.23          ,0.7199999999999989
106.38      ,0.0                 ,106.38            ,106.38             ,0.0                 ,110.48           ,4.1           ,8.0
114.43      ,0.0                 ,114.43            ,114.43             ,0.0                 ,119.4            ,4.97          ,3.950000000000003
127.02      ,0.0                 ,127.02            ,127.02             ,0.0                 ,131.85           ,4.83          ,7.61999999999999
136.39      ,0.0                 ,136.39            ,136.39             ,0.0                 ,140.42           ,4.03          ,4.539999999999992
154.47      ,0.0                 ,154.47            ,154.47             ,0.0                 ,159.1            ,4.63          ,14.050000000000011
159.1       ,2.319999999999993   ,156.78            ,159.1              ,2.319999999999993   ,163.95           ,7.17          ,0.0
171.41      ,0.0                 ,171.41            ,171.41             ,0.0                 ,176.4            ,4.99          ,7.460000000000008
177.0       ,0.0                 ,177.0             ,177.0              ,0.0                 ,181.99           ,4.99          ,0.5999999999999943
187.39      ,0.0                 ,187.39            ,187.39             ,0.0                 ,191.88           ,4.49          ,5.399999999999977
192.6       ,0.0                 ,192.6             ,192.6              ,0.0                 ,196.49           ,3.89          ,0.7199999999999989
196.49      ,3.25                ,193.24            ,196.49             ,3.25                ,201.23           ,7.99          ,0.0
212.96      ,0.0                 ,212.96            ,212.96             ,0.0                 ,217.84           ,4.88          ,11.730000000000018
228.18      ,0.0                 ,228.18            ,228.18             ,0.0                 ,233.18           ,5.0           ,10.340000000000003
241.14      ,0.0                 ,241.14            ,241.14             ,0.0                 ,246.14           ,5.0           ,7.9599999999999795
258.44      ,0.0                 ,258.44            ,258.44             ,0.0                 ,263.13           ,4.69          ,12.300000000000011
269.58      ,0.0                 ,269.58            ,269.58             ,0.0                 ,273.54           ,3.96          ,6.449999999999989
283.67      ,0.0                 ,283.67            ,283.67             ,0.0                 ,288.58           ,4.91          ,10.129999999999995
290.63      ,0.0                 ,290.63            ,290.63             ,0.0                 ,294.67           ,4.04          ,2.0500000000000114
304.1       ,0.0                 ,304.1             ,304.1              ,0.0                 ,308.18           ,4.08          ,9.430000000000007
308.18      ,1.259999999999991   ,306.92            ,308.18             ,1.259999999999991   ,312.82           ,5.9           ,0.0
317.89      ,0.0                 ,317.89            ,317.89             ,0.0                 ,322.53           ,4.64          ,5.069999999999993
332.48      ,0.0                 ,332.48            ,332.48             ,0.0                 ,337.13           ,4.65          ,9.950000000000045
338.93      ,0.0                 ,338.93            ,338.93             ,0.0                 ,342.94           ,4.01          ,1.8000000000000114
347.75      ,0.0                 ,347.75            ,347.75             ,0.0                 ,351.87           ,4.12          ,4.810000000000002
356.31      ,0.0                 ,356.31            ,356.31             ,0.0                 ,361.31           ,5.0           ,4.439999999999998
370.42      ,0.0                 ,370.42            ,370.42             ,0.0                 ,374.5            ,4.08          ,9.110000000000014
382.08      ,0.0                 ,382.08            ,382.08             ,0.0                 ,386.79           ,4.71          ,7.579999999999984
393.51      ,0.0                 ,393.51            ,393.51             ,0.0                 ,398.15           ,4.64          ,6.71999999999997
407.57      ,0.0                 ,407.57            ,407.57             ,0.0                 ,412.07           ,4.5           ,9.420000000000016
416.76      ,0.0                 ,416.76            ,416.76             ,0.0                 ,420.64           ,3.88          ,4.689999999999998
432.29      ,0.0                 ,432.29            ,432.29             ,0.0                 ,437.29           ,5.0           ,11.650000000000034
446.92      ,0.0                 ,446.92            ,446.92             ,0.0                 ,451.92           ,5.0           ,9.629999999999995
453.07      ,0.0                 ,453.07            ,453.07             ,0.0                 ,457.58           ,4.51          ,1.1499999999999773
461.09      ,0.0                 ,461.09            ,461.09             ,0.0                 ,464.95           ,3.86          ,3.509999999999991
464.95      ,2.0299999999999727  ,462.92            ,464.95             ,2.0299999999999727  ,469.75           ,6.83          ,0.0
473.03      ,0.0                 ,473.03            ,473.03             ,0.0                 ,477.73           ,4.7           ,3.2799999999999727
481.91      ,0.0                 ,481.91            ,481.91             ,0.0                 ,486.01           ,4.1           ,4.180000000000007
490.88      ,0.0                 ,490.88            ,490.88             ,0.0                 ,495.88           ,5.0           ,4.8700000000000045
495.88      ,0.589999999999975   ,495.29            ,495.88             ,0.589999999999975   ,499.9            ,4.61          ,0.0
506.79      ,0.0                 ,506.79            ,506.79             ,0.0                 ,511.51           ,4.72          ,6.890000000000043
513.54      ,0.0                 ,513.54            ,513.54             ,0.0                 ,517.65           ,4.11          ,2.0299999999999727
528.03      ,0.0                 ,528.03            ,528.03             ,0.0                 ,532.44           ,4.41          ,10.379999999999995
540.78      ,0.0                 ,540.78            ,540.78             ,0.0                 ,545.61           ,4.83          ,8.339999999999918
555.59      ,0.0                 ,555.59            ,555.59             ,0.0                 ,560.12           ,4.53          ,9.980000000000018
568.73      ,0.0                 ,568.73            ,568.73             ,0.0                 ,573.71           ,4.98          ,8.610000000000014
582.93      ,0.0                 ,582.93            ,582.93             ,0.0                 ,587.79           ,4.86          ,9.219999999999914
596.42      ,0.0                 ,596.42            ,596.42             ,0.0                 ,601.09           ,4.67          ,8.629999999999995
614.91      ,0.0                 ,614.91            ,614.91             ,0.0                 ,619.06           ,4.15          ,13.819999999999936
622.98      ,0.0                 ,622.98            ,622.98             ,0.0                 ,627.98           ,5.0           ,3.9200000000000728
627.98      ,0.2799999999999727  ,627.7             ,627.98             ,0.2799999999999727  ,632.98           ,5.28          ,0.0
632.98      ,1.5                 ,631.48            ,632.98             ,1.5                 ,636.98           ,5.5           ,0.0
647.66      ,0.0                 ,647.66            ,647.66             ,0.0                 ,651.99           ,4.33          ,10.67999999999995
656.3       ,0.0                 ,656.3             ,656.3              ,0.0                 ,660.71           ,4.41          ,4.309999999999945
672.17      ,0.0                 ,672.17            ,672.17             ,0.0                 ,676.15           ,3.98          ,11.459999999999923
678.21      ,0.0                 ,678.21            ,678.21             ,0.0                 ,682.42           ,4.21          ,2.060000000000059
690.67      ,0.0                 ,690.67            ,690.67             ,0.0                 ,695.64           ,4.97          ,8.25
704.35      ,0.0                 ,704.35            ,704.35             ,0.0                 ,709.1            ,4.75          ,8.710000000000036
712.54      ,0.0                 ,712.54            ,712.54             ,0.0                 ,716.5            ,3.96          ,3.439999999999941
721.15      ,0.0                 ,721.15            ,721.15             ,0.0                 ,726.01           ,4.86          ,4.649999999999977
726.01      ,1.4600000000000364  ,724.55            ,726.01             ,1.4600000000000364  ,731.01           ,6.46          ,0.0
733.26      ,0.0                 ,733.26            ,733.26             ,0.0                 ,737.78           ,4.52          ,2.25
746.77      ,0.0                 ,746.77            ,746.77             ,0.0                 ,751.5            ,4.73          ,8.990000000000009
758.68      ,0.0                 ,758.68            ,758.68             ,0.0                 ,763.23           ,4.55          ,7.17999999999995
769.79      ,0.0                 ,769.79            ,769.79             ,0.0                 ,774.18           ,4.39          ,6.559999999999945
778.32      ,0.0                 ,778.32            ,778.32             ,0.0                 ,782.48           ,4.16          ,4.1400000000001
789.51      ,0.0                 ,789.51            ,789.51             ,0.0                 ,794.43           ,4.92          ,7.029999999999973
804.57      ,0.0                 ,804.57            ,804.57             ,0.0                 ,809.51           ,4.94          ,10.1400000000001
817.99      ,0.0                 ,817.99            ,817.99             ,0.0                 ,822.99           ,5.0           ,8.480000000000018
828.03      ,0.0                 ,828.03            ,828.03             ,0.0                 ,832.5            ,4.47          ,5.039999999999964
832.5       ,2.909999999999968   ,829.59            ,832.5              ,2.909999999999968   ,837.34           ,7.75          ,0.0
837.34      ,2.0                 ,835.34            ,837.34             ,2.0                 ,841.72           ,6.38          ,0.0
842.16      ,0.0                 ,842.16            ,842.16             ,0.0                 ,846.22           ,4.06          ,0.4399999999999409
