arrival_time        ,service_time,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
0.0                 ,2.51        ,2.51              ,2.51               ,0.0                 ,7.51             ,5.0           ,0.0
0.0                 ,15.13       ,15.13             ,15.13              ,0.0                 ,19.34            ,4.21          ,7.620000000000001
0.0                 ,20.38       ,20.38             ,20.38              ,0.0                 ,25.3             ,4.92          ,1.0399999999999991
0.0                 ,29.18       ,29.18             ,29.18              ,0.0                 ,33.52            ,4.34          ,3.879999999999999
0.0                 ,45.95       ,45.95             ,45.95              ,0.0                 ,49.9             ,3.95          ,12.43
0.0                 ,57.79       ,57.79             ,57.79              ,0.0                 ,62.6             ,4.81          ,7.890000000000001
0.0                 ,73.23       ,73.23             ,73.23              ,0.0                 ,78.22            ,4.99          ,10.630000000000003
0.0                 ,85.87       ,85.87             ,85.87              ,0.0                 ,89.81            ,3.94          ,7.650000000000006
0.0                 ,95.08       ,95.08             ,95.08              ,0.0                 ,99.43            ,4.35          ,5.269999999999996
0.0                 ,100.55      ,100.55            ,100.55             ,0.0                 ,105.47           ,4.92          ,1.1199999999999903
0.0                 ,114.85      ,114.85            ,114.85             ,0.0                 ,118.99           ,4.14          ,9.379999999999995
2.059999999999988   ,118.99      ,116.93            ,118.99             ,2.059999999999988   ,123.89           ,6.96          ,0.0
0.0                 ,123.95      ,123.95            ,123.95             ,0.0                 ,128.74           ,4.79          ,0.060000000000002274
0.0                 ,135.43      ,135.43            ,135.43             ,0.0                 ,139.58           ,4.15          ,6.689999999999998
0.0                 ,148.14      ,148.14            ,148.14             ,0.0                 ,152.1            ,3.96          ,8.559999999999974
0.0                 ,154.85      ,154.85            ,154.85             ,0.0                 ,159.21           ,4.36          ,2.75
0.0                 ,167.52      ,167.52            ,167.52             ,0.0                 ,172.15           ,4.63          ,8.310000000000002
0.0                 ,175.02      ,175.02            ,175.02             ,0.0                 ,179.77           ,4.75          ,2.8700000000000045
0.0                 ,191.85      ,191.85            ,191.85             ,0.0                 ,195.72           ,3.87          ,12.079999999999984
0.0                 ,200.43      ,200.43            ,200.43             ,0.0                 ,204.87           ,4.44          ,4.710000000000008
0.0                 ,217.06      ,217.06            ,217.06             ,0.0                 ,221.88           ,4.82          ,12.189999999999998
0.0                 ,235.82      ,235.82            ,235.82             ,0.0                 ,240.8            ,4.98          ,13.939999999999998
0.0                 ,242.58      ,242.58            ,242.58             ,0.0                 ,246.53           ,3.95          ,1.7800000000000011
0.0                 ,252.78      ,252.78            ,252.78             ,0.0                 ,256.63           ,3.85          ,6.25
0.0                 ,268.82      ,268.82            ,268.82             ,0.0                 ,273.81           ,4.99          ,12.189999999999998
0.11000000000001364 ,273.81      ,273.7             ,273.81             ,0.11000000000001364 ,278.78           ,5.08          ,0.0
0.0                 ,286.49      ,286.49            ,286.49             ,0.0                 ,291.42           ,4.93          ,7.710000000000036
0.0                 ,296.95      ,296.95            ,296.95             ,0.0                 ,301.63           ,4.68          ,5.529999999999973
0.0                 ,303.11      ,303.11            ,303.11             ,0.0                 ,307.32           ,4.21          ,1.4800000000000182
0.0                 ,309.62      ,309.62            ,309.62             ,0.0                 ,314.48           ,4.86          ,2.3000000000000114
0.0                 ,324.53      ,324.53            ,324.53             ,0.0                 ,329.02           ,4.49          ,10.049999999999955
0.0                 ,333.69      ,333.69            ,333.69             ,0.0                 ,337.97           ,4.28          ,4.670000000000016
0.0                 ,340.03      ,340.03            ,340.03             ,0.0                 ,344.97           ,4.94          ,2.0599999999999454
2.7700000000000387  ,344.97      ,342.2             ,344.97             ,2.7700000000000387  ,349.81           ,7.61          ,0.0
0.0                 ,357.51      ,357.51            ,357.51             ,0.0                 ,361.87           ,4.36          ,7.699999999999989
0.0                 ,368.82      ,368.82            ,368.82             ,0.0                 ,373.59           ,4.77          ,6.949999999999989
0.0                 ,377.31      ,377.31            ,377.31             ,0.0                 ,381.83           ,4.52          ,3.7200000000000273
0.0                 ,386.57      ,386.57            ,386.57             ,0.0                 ,390.74           ,4.17          ,4.740000000000009
0.0                 ,405.63      ,405.63            ,405.63             ,0.0                 ,410.39           ,4.76          ,14.889999999999986
0.0                 ,419.06      ,419.06            ,419.06             ,0.0                 ,423.68           ,4.62          ,8.670000000000016
0.0                 ,437.88      ,437.88            ,437.88             ,0.0                 ,442.7            ,4.82          ,14.199999999999989
0.0                 ,453.77      ,453.77            ,453.77             ,0.0                 ,458.72           ,4.95          ,11.069999999999993
0.0                 ,461.25      ,461.25            ,461.25             ,0.0                 ,465.33           ,4.08          ,2.5299999999999727
0.0                 ,473.41      ,473.41            ,473.41             ,0.0                 ,478.18           ,4.77          ,8.080000000000041
0.0                 ,490.17      ,490.17            ,490.17             ,0.0                 ,494.79           ,4.62          ,11.990000000000009
0.0                 ,500.06      ,500.06            ,500.06             ,0.0                 ,504.81           ,4.75          ,5.269999999999982
0.0                 ,509.93      ,509.93            ,509.93             ,0.0                 ,514.47           ,4.54          ,5.1200000000000045
0.0                 ,516.39      ,516.39            ,516.39             ,0.0                 ,521.19           ,4.8           ,1.919999999999959
0.0                 ,531.13      ,531.13            ,531.13             ,0.0                 ,536.12           ,4.99          ,9.93999999999994
0.0                 ,545.84      ,545.84            ,545.84             ,0.0                 ,549.95           ,4.11          ,9.720000000000027
0.0                 ,561.23      ,561.23            ,561.23             ,0.0                 ,566.14           ,4.91          ,11.279999999999973
0.0                 ,574.16      ,574.16            ,574.16             ,0.0                 ,579.15           ,4.99          ,8.019999999999982
0.0                 ,584.22      ,584.22            ,584.22             ,0.0                 ,588.8            ,4.58          ,5.07000000000005
0.0                 ,596.87      ,596.87            ,596.87             ,0.0                 ,601.15           ,4.28          ,8.07000000000005
0.0                 ,605.57      ,605.57            ,605.57             ,0.0                 ,610.07           ,4.5           ,4.420000000000073
0.0                 ,610.36      ,610.36            ,610.36             ,0.0                 ,615.25           ,4.89          ,0.2899999999999636
0.0                 ,625.43      ,625.43            ,625.43             ,0.0                 ,630.43           ,5.0           ,10.17999999999995
0.0                 ,642.02      ,642.02            ,642.02             ,0.0                 ,646.44           ,4.42          ,11.590000000000032
0.0                 ,657.53      ,657.53            ,657.53             ,0.0                 ,662.51           ,4.98          ,11.089999999999918
0.0                 ,667.15      ,667.15            ,667.15             ,0.0                 ,672.13           ,4.98          ,4.639999999999986
0.0                 ,681.98      ,681.98            ,681.98             ,0.0                 ,686.6            ,4.62          ,9.850000000000023
0.0                 ,693.01      ,693.01            ,693.01             ,0.0                 ,697.58           ,4.57          ,6.409999999999968
0.0                 ,708.71      ,708.71            ,708.71             ,0.0                 ,713.44           ,4.73          ,11.129999999999995
0.0                 ,716.95      ,716.95            ,716.95             ,0.0                 ,721.48           ,4.53          ,3.509999999999991
0.0                 ,731.23      ,731.23            ,731.23             ,0.0                 ,736.0            ,4.77          ,9.75
0.0                 ,745.99      ,745.99            ,745.99             ,0.0                 ,750.24           ,4.25          ,9.990000000000009
0.0                 ,756.2       ,756.2             ,756.2              ,0.0                 ,761.19           ,4.99          ,5.960000000000036
0.0                 ,767.95      ,767.95            ,767.95             ,0.0                 ,772.92           ,4.97          ,6.759999999999991
0.0                 ,773.57      ,773.57            ,773.57             ,0.0                 ,778.29           ,4.72          ,0.650000000000091
0.0                 ,787.14      ,787.14            ,787.14             ,0.0                 ,791.73           ,4.59          ,8.850000000000023
0.0                 ,796.03      ,796.03            ,796.03             ,0.0                 ,800.57           ,4.54          ,4.2999999999999545
0.0                 ,812.05      ,812.05            ,812.05             ,0.0                 ,816.31           ,4.26          ,11.479999999999905
3.599999999999909   ,816.31      ,812.71            ,816.31             ,3.599999999999909   ,820.84           ,8.13          ,0.0
0.0                 ,824.05      ,824.05            ,824.05             ,0.0                 ,828.37           ,4.32          ,3.2099999999999227
0.0                 ,833.38      ,833.38            ,833.38             ,0.0                 ,838.31           ,4.93          ,5.009999999999991
0.67999999999995    ,838.31      ,837.63            ,838.31             ,0.67999999999995    ,843.26           ,5.63          ,0.0
1.0699999999999363  ,843.26      ,842.19            ,843.26             ,1.0699999999999363  ,847.21           ,5.02          ,0.0
0.0                 ,850.82      ,850.82            ,850.82             ,0.0                 ,855.66           ,4.84          ,3.6100000000000136
0.0                 ,860.59      ,860.59            ,860.59             ,0.0                 ,865.59           ,5.0           ,4.930000000000064
0.0                 ,869.15      ,869.15            ,869.15             ,0.0                 ,874.15           ,5.0           ,3.5599999999999454
0.0                 ,879.19      ,879.19            ,879.19             ,0.0                 ,884.19           ,5.0           ,5.040000000000077
0.0                 ,890.79      ,890.79            ,890.79             ,0.0                 ,895.56           ,4.77          ,6.599999999999909
0.0                 ,896.27      ,896.27            ,896.27             ,0.0                 ,900.98           ,4.71          ,0.7100000000000364
0.0                 ,908.62      ,908.62            ,908.62             ,0.0                 ,913.29           ,4.67          ,7.639999999999986
0.0                 ,918.48      ,918.48            ,918.48             ,0.0                 ,923.15           ,4.67          ,5.190000000000055
0.0                 ,930.54      ,930.54            ,930.54             ,0.0                 ,935.17           ,4.63          ,7.389999999999986
0.0                 ,940.58      ,940.58            ,940.58             ,0.0                 ,945.57           ,4.99          ,5.410000000000082
0.0                 ,947.04      ,947.04            ,947.04             ,0.0                 ,951.11           ,4.07          ,1.4699999999999136
0.0                 ,963.58      ,963.58            ,963.58             ,0.0                 ,967.65           ,4.07          ,12.470000000000027
0.0                 ,974.36      ,974.36            ,974.36             ,0.0                 ,979.12           ,4.76          ,6.710000000000036
0.0                 ,988.1       ,988.1             ,988.1              ,0.0                 ,992.99           ,4.89          ,8.980000000000018
0.0                 ,996.18      ,996.18            ,996.18             ,0.0                 ,1000.8           ,4.62          ,3.189999999999941
0.0                 ,1007.38     ,1007.38           ,1007.38            ,0.0                 ,1012.12          ,4.74          ,6.580000000000041
0.75                ,1012.12     ,1011.37           ,1012.12            ,0.75                ,1016.16          ,4.79          ,0.0
0.0                 ,1018.42     ,1018.42           ,1018.42            ,0.0                 ,1023.37          ,4.95          ,2.259999999999991
0.0                 ,1025.89     ,1025.89           ,1025.89            ,0.0                 ,1030.87          ,4.98          ,2.5200000000000955
0.0                 ,1043.32     ,1043.32           ,1043.32            ,0.0                 ,1047.83          ,4.51          ,12.450000000000045
0.0                 ,1051.32     ,1051.32           ,1051.32            ,0.0                 ,1055.9           ,4.58          ,3.490000000000009
0.0                 ,1057.02     ,1057.02           ,1057.02            ,0.0                 ,1061.24          ,4.22          ,1.1199999999998909
0.0                 ,1071.36     ,1071.36           ,1071.36            ,0.0                 ,1076.29          ,4.93          ,10.11999999999989
0.0                 ,1083.29     ,1083.29           ,1083.29            ,0.0                 ,1088.25          ,4.96          ,7.0
0.0                 ,1101.41     ,1101.41           ,1101.41            ,0.0                 ,1106.06          ,4.65          ,13.160000000000082
0.7400000000000091  ,1106.06     ,1105.32           ,1106.06            ,0.7400000000000091  ,1111.06          ,5.74          ,0.0
0.0                 ,1120.85     ,1120.85           ,1120.85            ,0.0                 ,1125.0           ,4.15          ,9.789999999999964
0.0                 ,1130.74     ,1130.74           ,1130.74            ,0.0                 ,1135.49          ,4.75          ,5.740000000000009
